Date,Open,High,Low,Close,Adj Close,Volume
2018-08-10,33.549999,34.459999,33.430000,34.090000,34.090000,13198500
2018-08-13,34.110001,34.450001,33.869999,33.880001,33.880001,7984400
2018-08-14,33.910000,34.730000,33.849998,34.400002,34.400002,9201000
2018-08-15,34.049999,34.099998,33.599998,33.860001,33.860001,12381500
2018-08-16,34.060001,34.169998,33.639999,33.770000,33.770000,8534500
2018-08-17,33.820000,34.259998,33.680000,34.009998,34.009998,6982400
2018-08-20,34.200001,34.340000,33.930000,34.020000,34.020000,7843900
2018-08-21,34.060001,34.869999,34.029999,34.529999,34.529999,9788800
2018-08-22,34.410000,34.790001,34.150002,34.700001,34.700001,7463100
2018-08-23,34.779999,34.889999,34.240002,34.400002,34.400002,7989400
2018-08-24,34.560001,34.880001,34.459999,34.529999,34.529999,5412500
2018-08-27,34.619999,34.790001,34.520000,34.580002,34.580002,7464800
2018-08-28,34.740002,34.790001,34.459999,34.740002,34.740002,5877600
2018-08-29,34.779999,35.290001,34.750000,34.930000,34.930000,5934400
2018-08-30,34.840000,34.990002,34.619999,34.799999,34.799999,4985500
2018-08-31,34.720001,35.060001,34.560001,34.610001,34.610001,7944100
